model,prompt,test_name,cwe,tp,fp,tn,fn
DeepSeek-V3-0324,cot,BenchmarkTest00075.java,CWE-328,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00076.java,CWE-328,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00077.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00078.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00079.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00080.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00081.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00082.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00083.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00084.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00085.java,CWE-330,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00086.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00087.java,CWE-614,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00088.java,CWE-614,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00089.java,CWE-614,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00090.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00091.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00092.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00093.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00094.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00095.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00096.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00100.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00101.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00102.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00103.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00104.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00105.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00106.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00107.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00108.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00109.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00110.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00111.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00112.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00113.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00114.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00115.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00116.java,CWE-643,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00117.java,CWE-643,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00118.java,CWE-643,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00119.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00120.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00121.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00122.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00123.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00124.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00125.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00126.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00127.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00128.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00129.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00130.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00131.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00132.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00133.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00134.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00135.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00136.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00137.java,CWE-22,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00138.java,CWE-90,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00139.java,CWE-90,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00140.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00141.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00142.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00143.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00144.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00145.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00146.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00147.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00148.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00149.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00150.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00151.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00152.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00153.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00154.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00155.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00156.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00157.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00158.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00159.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00160.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00161.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00162.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00163.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00164.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00165.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00166.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00167.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00168.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00169.java,CWE-614,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00170.java,CWE-614,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00171.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00172.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00173.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00174.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00175.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00176.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00177.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00178.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00179.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00180.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00181.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00182.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00183.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00184.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00185.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00186.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00187.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00188.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00190.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00191.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00192.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00193.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00194.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00195.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00196.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00197.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00198.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00199.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00200.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00201.java,CWE-89,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00202.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00203.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00204.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00205.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00206.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00207.java,CWE-643,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00208.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00209.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00210.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00211.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00212.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00213.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00214.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00215.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00216.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00217.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00218.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00219.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00220.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00221.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00222.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00223.java,CWE-328,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00224.java,CWE-328,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00225.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00226.java,CWE-328,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00227.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00228.java,CWE-328,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00229.java,CWE-328,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00230.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00231.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00232.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00233.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00234.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00235.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00236.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00237.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00238.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00239.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00240.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00241.java,CWE-614,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00242.java,CWE-614,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00243.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00244.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00245.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00246.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00247.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00248.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00249.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00254.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00255.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00256.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00257.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00258.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00259.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00260.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00261.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00262.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00263.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00264.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00265.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00266.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00267.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00268.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00269.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00270.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00271.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00272.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00273.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00274.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00275.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00276.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00277.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00278.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00279.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00280.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00281.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00282.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00283.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00284.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00285.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00286.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00287.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00288.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00289.java,CWE-79,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00290.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00291.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00292.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00293.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00294.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00295.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00296.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00297.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00298.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00299.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00300.java,CWE-614,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00301.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00302.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00303.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00304.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00305.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00306.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00307.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00308.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00309.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00310.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00311.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00312.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00313.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00314.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00315.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00316.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00317.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00318.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00319.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00320.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00328.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00329.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00330.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00331.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00332.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00333.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00334.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00335.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00336.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00337.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00338.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00339.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00340.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00341.java,CWE-89,1,0,0,0
